source_type,mece_bucket,project,org_or_vendor,open_source,primary_url,stars_snapshot,recent_3m_scope_pass,recent_signal_90d,macos_surface,autonomy_signal,claw_affinity,strict_github_filter_pass,strict_fail_reason,non_github_macos_app_pass,evidence_summary,source_urls,confidence
github_open_source,coding_agent_cli_desktop,Goose,block,True,https://github.com/block/goose,33k,True,Active in Mar 2026,desktop app + CLI,Extensible AI agent for desktop and terminal,close_claw_alt,True,,,Open-source AI agent with desktop app and CLI; positioned as extensible coding/workflow agent.,https://github.com/block/goose,high
github_open_source,coding_agent_cli_desktop,Continue,continuedev,True,https://github.com/continuedev/continue,31.8k,True,Last week / days,CLI + IDE,Terminal coding agent; headless background agents; agents on PRs,supplementary_open_alt,True,,,Continue CLI is a terminal-based coding agent; repo also mentions TUI mode and headless mode for background agents; high-star open source project.,https://github.com/continuedev/continue | https://github.com/continuedev/continue/releases | https://github.com/continuedev/continue/blob/main/docs/cli/quickstart.mdx,high
github_open_source,coding_agent_cli_desktop,SWE-agent,SWE-agent,True,https://github.com/SWE-agent/SWE-agent,18.7k,True,Active in Mar 2026,CLI / local run,Automatically fixes GitHub issues,close_claw_alt,True,,,Autonomous software engineering agent that automatically fixes GitHub issues.,https://github.com/SWE-agent/SWE-agent,high
github_open_source,coding_agent_cli_desktop,superset,superset-sh,True,https://github.com/superset-sh/superset,7.1k,True,Updated minutes ago,desktop IDE,Run an army of coding agents on your machine,supplementary_open_alt,True,,,IDE for the AI-agents era; markets running multiple agents locally on your machine.,https://github.com/superset-sh/superset,medium
github_open_source,browser_agent,browser-use,browser-use,True,https://github.com/browser-use/browser-use,80.8k,,Updated Mar 13 2026,CLI,Persistent browser automation from command line,close_claw_alt,True,,,AI-agent-oriented browser automation with CLI that keeps browser running between commands.,https://github.com/browser-use/browser-use,high
github_open_source,computer_use_desktop,UI-TARS-desktop,bytedance,True,https://github.com/bytedance/UI-TARS-desktop,28.8k,,Updated Mar 10 2026,CLI + Web UI + desktop stack,General multimodal AI agent stack with GUI agent / vision,close_claw_alt,True,,,General multimodal AI agent stack; ships primarily with CLI and Web UI; part of local device computer-use story.,https://github.com/bytedance/UI-TARS-desktop,high
github_open_source,computer_use_runtime,cua,trycua,True,https://github.com/trycua/cua,13k,True,Updated within hours,CLI + desktop sandboxes,Computer-use agent infrastructure for macOS/Linux/Windows,close_claw_alt,True,,,Open-source infrastructure for computer-use agents; supports full desktops including macOS and provides CLI onboarding.,https://github.com/trycua/cua,high
github_open_source,claw_native_personal_agent,IronClaw,nearai,True,https://github.com/nearai/ironclaw,10.1k,True,staging repo crawled 5 days ago; 10.1k stars snapshot,CLI/Homebrew,OpenClaw-inspired Rust implementation; onboard wizard; local runtime with secrets encryption,direct_claw_brand,True,,False,OpenClaw-inspired Rust agent focused on privacy/security; supports Homebrew on macOS/Linux and shell installer; onboard wizard configures runtime and secrets.,https://github.com/nearai/ironclaw | https://github.com/nearai/ironclaw/tree/staging/,High
github_open_source,claw_native_personal_agent,NanoClaw,qwibitai,True,https://github.com/qwibitai/nanoclaw,23k,True,repo open page crawled yesterday; 23k stars snapshot,CLI/install script,"Container-isolated personal assistant with scheduled tasks, swarms, messaging channels",direct_claw_brand,True,,False,"Lightweight OpenClaw alternative; official page shows macOS Apple Silicon install script, Docker sandboxes, scheduled tasks, multi-channel messaging, and agent swarms.",https://github.com/qwibitai/nanoclaw | https://nanoclaw.dev,High
github_open_source,claw_native_personal_agent,NullClaw,nullclaw,True,https://github.com/nullclaw/nullclaw,6.3k,True,"repo updated Mar 14, 2026; 6.3k stars snapshot",CLI/Homebrew,Fully autonomous AI assistant infra with gateway/agent/onboard commands and multi-layer sandboxing,direct_claw_brand,True,,False,Zig-based autonomous assistant infra; README and installation docs explicitly cover macOS/Homebrew plus onboard/agent/gateway flows.,https://github.com/nullclaw/nullclaw | https://nullclaw.io,High
github_open_source,claw_native_personal_agent,TinyClaw,TinyAGI,True,https://github.com/TinyAGI/tinyclaw,3.1k,True,repo updated 3 days ago; macOS issue active last week,CLI/tmux daemon,"Multi-agent, multi-team, multi-channel 24/7 assistant",direct_claw_brand,True,,False,Multi-agent 24/7 assistant with isolated workspaces; active macOS-specific startup issue confirms real macOS usage.,https://github.com/TinyAGI/tinyclaw | https://github.com/TinyAGI/tinyclaw/issues/156,High
github_open_source,claw_native_personal_agent,PicoClaw,sipeed,True,https://github.com/sipeed/picoclaw,24.8k,True,"launched Feb 9, 2026; repo crawled 3 days ago; 24.8k stars",CLI + launcher TUI/web console,"Personal AI assistant with onboard, agent, gateway, launcher and scheduled/messaging workflows",direct_claw_brand,True,,False,"Ultra-efficient Go assistant; supports single-binary install, launcher/web console, onboard + agent commands, and OpenClaw workspace migration.",https://github.com/sipeed/picoclaw | https://picoclaw.io,High
github_open_source,claw_native_personal_agent,nanobot,HKUDS,True,https://github.com/HKUDS/nanobot,32.8k-33.7k,True,repo/releases crawled this week; 32.8k-33.7k stars snapshot; active release 4 days ago,CLI / Homebrew / pip,"Ultra-light personal AI assistant with multi-chat channels, cron/scheduled jobs, MCP/tooling, onboard flow",close_claw_alt,True,,False,"Ultra-light personal AI assistant inspired by OpenClaw; active releases show multi-instance support, stronger MCP/tooling, multi-channel messaging, and sturdier cron jobs. Installation supports pip/uv and Homebrew.",https://github.com/HKUDS/nanobot | https://github.com/HKUDS/nanobot/releases | https://formulae.brew.sh/formula/nanobot,High
github_open_source,claw_native_personal_agent,CoPaw,agentscope-ai,True,https://github.com/agentscope-ai/CoPaw,8.4k-12k,True,repo/docs/issues crawled this week; active fixes in March 2026; stars seen in web snapshots from 8.4k to 12k,macOS app + CLI,Personal AI assistant; local or cloud deploy; multi-chat apps; scheduled reminders; desktop app available,close_claw_alt,True,,False,"Open-source personal AI assistant with local/cloud deployment, multiple chat channels, built-in scheduling, and a downloadable macOS desktop app plus CLI workflow.",https://github.com/agentscope-ai/CoPaw | https://copaw.agentscope.io/docs/quickstart/ | https://copaw.agentscope.io/docs/channels/,High
